f: 5; t: 79; h1: 166; h2: 166; x1: 50; x2: 153
f: 6; t: 68; h1: 166; h2: 166; x1: 154; x2: 175
f: 7; t: 55; h1: 166; h2: 97; x1: 148; x2: 168
f: 8; t: 43; h1: 148; h2: 91; x1: 148; x2: 168
f: 9; t: 32; h1: 130; h2: 85; x1: 148; x2: 168
f: 10; t: 24; h1: 130; h2: 69; x1: 148; x2: 168
f: 11; t: 18; h1: 130; h2: 69; x1: 148; x2: 168
f: 12; t: 8; h1: 72; h2: 69; x1: 148; x2: 168
f: 13; t: 80; h1: 14; h2: 69; x1: 148; x2: 168
f: 14; t: ; h1: 14; h2: 69; x1: 67; x2: 0
f: 15; t: 89; h1: 166; h2: 166; x1: 65; x2: 153
f: 16; t: 82; h1: 166; h2: 166; x1: 73; x2: 151
f: 17; t: 77; h1: 166; h2: 166; x1: 51; x2: 79
f: 18; t: 70; h1: 166; h2: 166; x1: 58; x2: 166
